,plunger,home_goods_store
,ski_gloves,department_store
,potato_peeler,home_goods_store
,hand_mixer,appliance_store
,scarf,clothing_store
,picture_hangers,home_goods_store
,snorkel,home_goods_store
,baby_oil,drugstore
,ironing_board,home_goods_store
,coffee_mug,home_goods_store
,flashcards,stationery_store
,back_support_belt,drugstore
,mop,home_goods_store
,shower_curtain,home_goods_store
,car_air_freshener,auto_parts_store
,plastic_wrap,home_goods_store
,garbage_bags,home_goods_store
,dog_shampoo,pet_store
,hair_curler,beauty_salon
,safety_pins,department_store
,pickle_jar,supermarket
,bamboo_cutting_board,home_goods_store
,grill_brush,home_goods_store
,desk_chair,office_supply_store
,batteries,electronics_store
,baby_clothes,clothing_store
,potpourri,home_goods_store
,oven_gloves,home_goods_store
,tire_gauge,auto_parts_store
,sleep_mask,home_goods_store
,coffee_table,home_goods_store
,flower_vase,home_goods_store
,board_game,game_store
,tart_pan,home_goods_store
,trivet,home_goods_store
,bar_stool,home_goods_store
,lint_roller,home_goods_store
,corn_cob_holders,home_goods_store
,corn_broom,home_goods_store
,cotton_balls,drugstore
,kitchen_scale,home_goods_store
,paint_brushes,hardware_store
,product_name,store_type
,coffee_grinder,appliance_store
,backpack,home_goods_store
,baby_powder,drugstore
,bookshelf,furniture_store
,baby_gate,department_store
,fishing_rod_holder,sporting_goods_store
,bicycle_pump,bicycle_store
,oven_mitts,appliance_store
,tweezers,beauty_salon
,baby_socks,clothing_store
,shower_gel,drugstore
,ice_cube_tray,home_goods_store
,taco_shell_holder,home_goods_store
,camera_tripod,electronics_store
,hair_straightener,beauty_salon
,hand_towel,home_goods_store
,water_filter,home_goods_store
,laptop_stand,electronics_store
,bento_box,home_goods_store
,scented_candles,home_goods_store
,dumbbell_set,sporting_goods_store
,cooking_oil,supermarket
,travel_mug,home_goods_store
,dog_collar,pet_store
,rolling_pin,home_goods_store
,cat_brush,pet_store
,headphones_splitter,electronics_store
,mosquito_repellent,drugstore
,cookie_cutter,home_goods_store
,food_storage_containers,home_goods_store
,wireless_mouse,electronics_store
,pool_noodle,sporting_goods_store
,paper_shredder,electronics_store
,hiking_map,book_store
,dish_drainer,home_goods_store
,pajamas,clothing_store
,toilet_bowl_brush,home_goods_store
,grapefruit_juicer,appliance_store
,tongs,home_goods_store
,alarm_clock,home_goods_store
,flash_drive,electronics_store
,yoga_ball,sporting_goods_store
,pepper_grinder,home_goods_store
,bread_box,home_goods_store
,cooking_sheet,home_goods_store
,golf_tees,sporting_goods_store
,massage_oil,beauty_salon
,popcorn_maker,home_goods_store
,sunflower_oil,supermarket
,cake_stand,home_goods_store
,exercise_mat,sporting_goods_store
,kitchen_timer,home_goods_store
,citrus_juicer,appliance_store
,toothpick_holder,home_goods_store
,puzzle_book,book_store
,baby_blanket,home_goods_store
,cat_scratcher,pet_store
,fishing_line,sporting_goods_store
,gaming_mouse,electronics_store
,kettlebell,sporting_goods_store
,bread_knife,home_goods_store
,painting_canvas,art_supply_store
,cotton_swabs,drugstore
,bedsheets,home_goods_store
,dog_bed,pet_store
,gardening_tools,home_goods_store
,fishing_tackle_box,sporting_goods_store
,notebook,office_supply_store
,coffee_filter,home_goods_store
,baby_formula,supermarket
,cork_screw,home_goods_store
,dental_pick,drugstore
,hula_hoop,sporting_goods_store
,raincoat,clothing_store
,teapot,home_goods_store
,wine_opener,home_goods_store
,serving_tray,home_goods_store
,blow_dryer,beauty_salon
,hair_rollers,beauty_salon
,pet_food_bowls,pet_store
,product_name,store_type
,fire_extinguisher,hardware_store
,fruit_basket,home_goods_store
,barbecue_sauce,supermarket
,nail_clippers,beauty_salon
,stapler,office_supply_store
,clothes_hanger,home_goods_store
,pet_toy,pet_store
,hot_sauce,supermarket
,kitchen_gadget,home_goods_store
,dog_bowl,pet_store
,vaccum_cleaner,appliance_store
,picture_frame,home_goods_store
,shower_caddy,home_goods_store
,coffee_maker,appliance_store
,handheld_mirror,beauty_salon
,screwdriver,hardware_store
,pencil_case,stationery_store
,baby_diapers,supermarket
,spice_rack,home_goods_store
,post-it_notes,office_supply_store
,back_scrubber,beauty_salon
,sippy_cup,supermarket
,oven_mitt,home_goods_store
,bike_light,bicycle_store
,painting_brush,art_supply_store
,drawer_organizer,home_goods_store
,couch_pillow,home_goods_store
,umbrella,home_goods_store
,fishing_rod,sporting_goods_store
,tissues,supermarket
,paper_cutter,office_supply_store
,guitar_pick,music_store
,bread_knife,home_goods_store
,kitchen_tongs,home_goods_store
,baby_clothes,supermarket
,travel_mug,home_goods_store
,dog_leash,pet_store
,garden_hose,home_goods_store
,puzzle,book_store
,baby_wipes,supermarket
,coffee_mug,home_goods_store
,baby_shampoo,drugstore
,paper_towels,supermarket
,sleeping_mask,home_goods_store
,toothpaste,drugstore
,cooking_pot,home_goods_store
,yoga_mat,sporting_goods_store
,blanket,home_goods_store
,laptop_bag,electronics_store
,magnifying_glass,office_supply_store
,fishing_net,sporting_goods_store
,mirror,home_goods_store
,screwdriver_set,hardware_store
,yoga_mat,sporting_goods_store
,toothpicks,convenience_store
,frying_pan,home_goods_store
,golf_clubs,sporting_goods_store
,catnip,pet_store
,pencil_sharpener,office_supply_store
,sweater_vest,clothing_store
,frozen_vegetables,supermarket
,luggage,department_store
,hair_brush,beauty_salon
,notebook,book_store
,umbrella,home_goods_store
,blender,appliance_store
,dishwasher_detergent,home_goods_store
,tablecloth,home_goods_store
,bug_spray,drugstore
,lightbulbs,hardware_store
,baby_wipes,pharmacy
,dumbbells,sporting_goods_store
,pancake_mix,supermarket
,greeting_cards,stationery_store
,hammock,home_goods_store
,dental_floss,drugstore
,goggles,sporting_goods_store
,cat_treats,pet_store
,instant_noodles,convenience_store
,swim_goggles,sporting_goods_store
,corkboard,office_supply_store
,paper_towels,supermarket
,sunflower_seeds,convenience_store
,tupperware,home_goods_store
,puzzle_book,book_store
,toothbrush_holder,home_goods_store
,sunblock,drugstore
,food_processor,appliance_store
,baseball_glove,sporting_goods_store
,rice_cooker,appliance_store
,kitchen_timer,home_goods_store
,hand_warmer,hardware_store
,coloring_books,book_store
,dartboard,sporting_goods_store
,dish_cloth,home_goods_store
,vase,home_goods_store
,fishing_lures,sporting_goods_store
,plunger,home_goods_store
,ski_gloves,department_store
,potato_peeler,home_goods_store
,hand_mixer,appliance_store
,scarf,clothing_store
,picture_hangers,home_goods_store
,snorkel,home_goods_store
,baby_oil,drugstore
,ironing_board,home_goods_store
,coffee_mug,home_goods_store
,flashcards,stationery_store
,back_support_belt,drugstore
,mop,home_goods_store
,shower_curtain,home_goods_store
,car_air_freshener,auto_parts_store
,plastic_wrap,home_goods_store
,garbage_bags,home_goods_store
,dog_shampoo,pet_store
,hair_curler,beauty_salon
,safety_pins,department_store
,pickle_jar,supermarket
,bamboo_cutting_board,home_goods_store
,grill_brush,home_goods_store
,desk_chair,office_supply_store
,batteries,electronics_store
,baby_clothes,clothing_store
,potpourri,home_goods_store
,oven_gloves,home_goods_store
,tire_gauge,auto_parts_store
,sleep_mask,home_goods_store
,coffee_table,home_goods_store
,flower_vase,home_goods_store
,board_game,game_store
,tart_pan,home_goods_store
,trivet,home_goods_store
,bar_stool,home_goods_store
,lint_roller,home_goods_store
,corn_cob_holders,home_goods_store
,corn_broom,home_goods_store
,cotton_balls,drugstore
,kitchen_scale,home_goods_store
,paint_brushes,hardware_store
,fire_extinguisher,hardware_store
,fruit_basket,home_goods_store
,barbecue_sauce,supermarket
,nail_clippers,beauty_salon
,stapler,office_supply_store
,clothes_hanger,home_goods_store
,pet_toy,pet_store
,hot_sauce,supermarket
,kitchen_gadget,home_goods_store
,dog_bowl,pet_store
,vaccum_cleaner,appliance_store
,picture_frame,home_goods_store
,shower_caddy,home_goods_store
,coffee_maker,appliance_store
,handheld_mirror,beauty_salon
,screwdriver,hardware_store
,pencil_case,stationery_store
,baby_diapers,supermarket
,spice_rack,home_goods_store
,post-it_notes,office_supply_store
,back_scrubber,beauty_salon
,sippy_cup,supermarket
,oven_mitt,home_goods_store
,bike_light,bicycle_store
,painting_brush,art_supply_store
,drawer_organizer,home_goods_store
,couch_pillow,home_goods_store
,umbrella,home_goods_store
,fishing_rod,sporting_goods_store
,tissues,supermarket
,paper_cutter,office_supply_store
,guitar_pick,music_store
,bread_knife,home_goods_store
,kitchen_tongs,home_goods_store
,baby_clothes,supermarket
,travel_mug,home_goods_store
,dog_leash,pet_store
,garden_hose,home_goods_store
,puzzle,book_store
,baby_wipes,supermarket
,coffee_mug,home_goods_store
,baby_shampoo,drugstore
,paper_towels,supermarket
,sleeping_mask,home_goods_store
,toothpaste,drugstore
,cooking_pot,home_goods_store
,yoga_mat,sporting_goods_store
,blanket,home_goods_store
,laptop_bag,electronics_store
,product_name,store_type
,milk,supermarket
,bread,bakery
,toothpaste,drugstore
,shampoo,beauty_salon
,soda,convenience_store
,screwdriver,hardware_store
,coffee,cafe
,t-shirt,clothing_store
,pet food,pet_store
,laptop,electronics_store
,flowers,florist
,wine,liquor_store
,tyres,car_repair
,notebook,book_store
,pills,pharmacy
,gasoline,gas_station
,vacuum cleaner,home_goods_store
,dog collar,pet_store
,sunglasses,clothing_store
,pizza,cafe
,screwdriver,home_goods_store
,flashlight,hardware_store
,umbrella,department_store
,cash,atm
,earrings,jewelry_store
,jeans,clothing_store
,toothbrush,drugstore
,soap,pharmacy
,car rental,car_rental
,car wash,car_wash
,hair dryer,hair_care
,lamp,furniture_store
,soccer ball,sporting_goods_store
,watch,jewelry_store
,spices,supermarket
,candles,home_goods_store
,tire,auto_parts_store
,towel,home_goods_store
,beer,liquor_store
,pen,stationery_store
,soda,convenience_store
,dish soap,supermarket
,laptop,electronics_store
,phone case,electronics_store
,running shoes,shoe_store
,sweater,clothing_store
,mop,home_goods_store
,ice cream,supermarket
,printer,electronics_store
,printer paper,office_supply_store
,coffee maker,home_goods_store
,fishing rod,sporting_goods_store
,steak,supermarket
,perfume,beauty_salon
,backpack,department_store
,nail polish,beauty_salon
,sneakers,shoe_store
,screwdriver,home_goods_store
,potato chips,convenience_store
,couch,furniture_store
,chocolate,convenience_store
,toilet paper,supermarket
,dumbbells,sporting_goods_store
,camera,electronics_store
,tissues,pharmacy
,soda,convenience_store
,watch,jewelry_store
,sweater,clothing_store
,towel,home_goods_store
,beer,liquor_store
,pen,stationery_store
,soda,convenience_store
,dish soap,supermarket
,laptop,electronics_store
,phone case,electronics_store
,running shoes,shoe_store
,sweater,clothing_store
,mop,home_goods_store
,ice cream,supermarket
,printer,electronics_store
,printer paper,office_supply_store
,coffee maker,home_goods_store
,fishing rod,sporting_goods_store
,steak,supermarket
,perfume,beauty_salon
,backpack,department_store
,nail polish,beauty_salon
,sneakers,shoe_store
,screwdriver,home_goods_store
,potato chips,convenience_store
,couch,furniture_store
,chocolate,convenience_store
,toilet paper,supermarket
,dumbbells,sporting_goods_store
,camera,electronics_store
,tissues,pharmacy
,product_name,store_type
,orange juice,supermarket
,baguette,bakery
,toothbrush,drugstore
,hair gel,beauty_salon
,chips,convenience_store
,pliers,hardware_store
,latte,cafe
,hoodie,clothing_store
,cat food,pet_store
,laptop,electronics_store
,roses,florist
,whiskey,liquor_store
,brake pads,car_repair
,novel,book_store
,cold medicine,pharmacy
,engine oil,auto_parts_store
,blow dryer,hair_care
,screws,hardware_store
,tea,cafe
,wrench,home_goods_store
,hiking boots,shoe_store
,chocolate,convenience_store
,cash,atm
,necklace,jewelry_store
,dress,clothing_store
,sunscreen,drugstore
,body wash,pharmacy
,van rental,car_rental
,car wax,car_wash
,hair straightener,hair_care
,coffee table,furniture_store
,tennis ball,sporting_goods_store
,bracelet,jewelry_store
,shorts,clothing_store
,floss,pharmacy
,engine coolant,auto_parts_store
,notebook,stationery_store
,energy drink,convenience_store
,detergent,supermarket
,tablet,electronics_store
,mouse,electronics_store
,running shorts,shoe_store
,scarf,clothing_store
,broom,home_goods_store
,frozen pizza,supermarket
,scanner,electronics_store
,sticky notes,office_supply_store
,toaster,home_goods_store
,fishing reel,sporting_goods_store
,chicken,supermarket
,cologne,beauty_salon
,suitcase,department_store
,nail file,beauty_salon
,heels,shoe_store
,screwdriver,home_goods_store
,popcorn,convenience_store
,ottoman,furniture_store
,candy,convenience_store
,paper towels,supermarket
,weight bench,sporting_goods_store
,headphones,electronics_store
,cold medicine,pharmacy
,yogurt,supermarket
,smartphone,electronics_store
,gloves,clothing_store
,towel,home_goods_store
,wine,liquor_store
,pencil,stationery_store
,fruit punch,convenience_store
,dishwashing liquid,supermarket
,laptop,electronics_store
,tablet case,electronics_store
,sandals,shoe_store
,jeans,clothing_store
,bucket,home_goods_store
,sorbet,supermarket
,printer,electronics_store
,file folders,office_supply_store
,blender,home_goods_store
,fishing rod,sporting_goods_store
,salmon,supermarket
,perfume,beauty_salon
,backpack,department_store
,nail polish,beauty_salon
,sneakers,shoe_store
,pliers,home_goods_store
,potato chips,convenience_store
,sofa,furniture_store
,dark chocolate,convenience_store
,toilet paper,supermarket
,kettlebell,sporting_goods_store
,camera,electronics_store
,facial tissues,pharmacy
,product_name,store_type
,apple,supermarket
,bagel,bakery
,toothpaste,drugstore
,hair spray,beauty_salon
,cookies,convenience_store
,tape measure,hardware_store
,cappuccino,cafe
,sweater,clothing_store
,cat litter,pet_store
,smartwatch,electronics_store
,tulips,florist
,vodka,liquor_store
,brake fluid,car_repair
,magazine,book_store
,bandages,pharmacy
,windshield wipers,auto_parts_store
,curling iron,hair_care
,nuts and bolts,hardware_store
,green tea,cafe
,screwdriver,home_goods_store
,athletic shoes,shoe_store
,chocolate,convenience_store
,cash,atm
,watch,jewelry_store
,jacket,clothing_store
,sunscreen,drugstore
,shower gel,pharmacy
,limousine rental,car_rental
,car detailing,car_wash
,hair curler,hair_care
,coffee mug,furniture_store
,tennis racket,sporting_goods_store
,earrings,jewelry_store
,swim trunks,clothing_store
,dental floss,pharmacy
,motor oil,auto_parts_store
,sketchbook,stationery_store
,energy bars,convenience_store
,laundry detergent,supermarket
,camera,electronics_store
,keyboard,electronics_store
,hiking shoes,shoe_store
,hat,clothing_store
,vacuum cleaner,home_goods_store
,frozen vegetables,supermarket
,printer ink,electronics_store
,sticky tape,office_supply_store
,blender,home_goods_store
,fishing bait,sporting_goods_store
,steak,supermarket
,cologne,beauty_salon
,briefcase,department_store
,nail clippers,beauty_salon
,product_name,store_type
,orange,supermarket
,croissant,bakery
,toothpaste,drugstore
,perfume,beauty_salon
,chocolate,convenience_store
,pliers,hardware_store
,caramel macchiato,cafe
,hoodie,clothing_store
,bird food,pet_store
,tablet,electronics_store
,sunflowers,florist
,rum,liquor_store
,brake cleaner,car_repair
,comic book,book_store
,cough drops,pharmacy
,windshield washer fluid,auto_parts_store
,hairdryer,hair_care
,nuts,hardware_store
,chai tea,cafe
,screwdriver,home_goods_store
,hiking socks,shoe_store
,candy,convenience_store
,cash,atm
,bracelet,jewelry_store
,sweatpants,clothing_store
,item,store_type
0,Apples,supermarket
1,Bananas,supermarket
2,Oranges,supermarket
3,Grapes,supermarket
4,Potatoes,supermarket
5,Onions,supermarket
6,Tomatoes,supermarket
7,Lettuce,supermarket
8,Carrots,supermarket
9,Cucumbers,supermarket
10,Peppers,supermarket
11,Spinach,supermarket
12,Broccoli,supermarket
13,Cauliflower,supermarket
14,Strawberries,supermarket
15,Blueberries,supermarket
16,Raspberries,supermarket
17,Watermelon,supermarket
18,Pineapple,supermarket
19,Mangoes,supermarket
20,Avocado,supermarket
21,Bread,supermarket
22,Milk,supermarket
23,Eggs,supermarket
24,Butter,supermarket
25,Cheese,supermarket
26,Yogurt,supermarket
27,Chicken,supermarket
28,Beef,supermarket
29,Pork,supermarket
30,Fish,supermarket
31,Shrimp,supermarket
32,Tuna,supermarket
33,Salmon,supermarket
34,Pasta,supermarket
35,Rice,supermarket
36,Cereal,supermarket
37,Oatmeal,supermarket
38,Flour,supermarket
39,Sugar,supermarket
40,Salt,supermarket
41,Pepper,supermarket
42,Olive oil,supermarket
43,Cooking oil,supermarket
44,Vinegar,supermarket
45,Peanut butter,supermarket
46,Jam,supermarket
47,Honey,supermarket
48,Maple syrup,supermarket
49,Ketchup,supermarket
50,Mustard,supermarket
51,Mayonnaise,supermarket
52,Salad dressing,supermarket
53,Pickles,supermarket
54,Canned beans,supermarket
55,Canned tomatoes,supermarket
56,Canned soup,supermarket
57,Canned tuna,supermarket
58,Canned vegetables,supermarket
59,Frozen vegetables,supermarket
60,Frozen fruits,supermarket
61,Frozen pizza,supermarket
62,Ice cream,supermarket
63,Frozen fish,supermarket
64,Frozen chicken,supermarket
65,Chips,supermarket
66,Pretzels,supermarket
67,Popcorn,supermarket
68,Crackers,supermarket
69,Nuts,supermarket
70,Chocolate,supermarket
71,Candy,supermarket
72,Cookies,supermarket
73,Biscuits,supermarket
74,Cake mix,supermarket
75,Brownie mix,supermarket
76,Flour tortillas,supermarket
77,Corn tortillas,supermarket
78,Salsa,supermarket
79,Guacamole,supermarket
80,Tortilla chips,supermarket
81,Baking powder,supermarket
82,Baking soda,supermarket
83,Cake frosting,supermarket
84,Marshmallows,supermarket
85,Jello,supermarket
86,Pudding mix,supermarket
87,Coffee,supermarket
88,Tea,supermarket
89,Soft drinks,supermarket
90,Bottled water,supermarket
91,Juice,supermarket
92,Energy drinks,supermarket
93,Wine,supermarket
94,Beer,supermarket
95,Spirits,supermarket
96,Baby diapers,supermarket
97,Baby wipes,supermarket
98,Baby food,supermarket
99,Baby formula,supermarket
100,Feminine hygiene products,supermarket
101,Shampoo,supermarket
102,Conditioner,supermarket
103,Body wash,supermarket
104,Soap,supermarket
105,Toothpaste,supermarket
106,Toothbrush,supermarket
107,Toilet paper,supermarket
108,Paper towels,supermarket
109,Tissues,supermarket
110,Laundry detergent,supermarket
111,Dish soap,supermarket
112,Garbage bags,supermarket
113,Aluminum foil,supermarket
114,Plastic wrap,supermarket
115,Cleaning supplies,supermarket
116,Air freshener,supermarket
117,Pet food,supermarket
118,Pet treats,supermarket
119,Pet toys,supermarket
120,Brooms,supermarket
121,Mops,supermarket
122,Dustpan,supermarket
123,Trash cans,supermarket
124,Light bulbs,supermarket
125,Batteries,supermarket
126,Tools,supermarket
127,Gardening supplies,supermarket
128,Insect repellent,supermarket
129,First aid supplies,supermarket
130,Band-aids,supermarket
131,Sunscreen,supermarket
132,Candles,supermarket
133,Matches,supermarket
134,Charcoal,supermarket
135,BBQ sauce,supermarket
136,Grill accessories,supermarket
137,Firewood,supermarket
138,Picnic supplies,supermarket
139,Plastic cups,supermarket
140,Paper plates,supermarket
141,Disposable cutlery,supermarket
142,Foil trays,supermarket
143,Ziploc bags,supermarket
144,Food storage containers,supermarket
145,Office supplies,supermarket
146,Stationery,supermarket
147,Greeting cards,supermarket
148,Gift wrapping paper,supermarket
149,Party supplies,supermarket
150,Balloons,supermarket
151,Batteries,supermarket
152,Reading glasses,supermarket
153,Sunglasses,supermarket
154,Umbrellas,supermarket
155,Beach towels,supermarket
156,Sun hats,supermarket
157,Gloves,supermarket
158,Scarves,supermarket
159,Socks,supermarket
160,Underwear,supermarket
161,T-shirts,supermarket
162,Pants,supermarket
163,Dresses,supermarket
164,Shorts,supermarket
165,Swimwear,supermarket
166,Shoes,supermarket
167,Slippers,supermarket
168,Belts,supermarket
169,Purses,supermarket
170,Wallets,supermarket
171,Backpacks,supermarket
172,Suitcases,supermarket
173,Bedding,supermarket
174,Pillows,supermarket
175,Blankets,supermarket
176,Towels,supermarket
177,Curtains,supermarket
178,Rugs,supermarket
179,Home decor,supermarket
180,Kitchen utensils,supermarket
181,Cookware,supermarket
182,Cutlery,supermarket
183,Glassware,supermarket
184,Dinnerware,supermarket
185,Bakeware,supermarket
186,Small appliances,supermarket
187,Bathroom accessories,supermarket
188,Electronics,supermarket
189,TV,supermarket
190,Stereo system,supermarket
191,Smartphone,supermarket
192,Laptop,supermarket
193,Video games,supermarket
194,DVDs,supermarket
195,Books,supermarket
196,Magazines,supermarket
197,Toys,supermarket
198,Board games,supermarket
199,Exercise equipment,supermarket
0,Apples,store
1,Bananas,store
2,Oranges,store
3,Milk,store
4,Bread,store
5,Eggs,store
6,Chicken breast,store
7,Ground beef,store
8,Rice,store
9,Pasta,store
10,Cereal,store
11,Yogurt,store
12,Cheese,store
13,Tomatoes,store
14,Lettuce,store
15,Carrots,store
16,Potatoes,store
17,Onions,store
18,Broccoli,store
19,Cauliflower,store
20,Spinach,store
21,Soup,store
22,Canned beans,store
23,Peanut butter,store
24,Jelly,store
25,Salad dressing,store
26,Mayonnaise,store
27,Mustard,store
28,Ketchup,store
29,Sliced bread,store
30,Butter,store
31,Olive oil,store
32,Cooking oil,store
33,Flour,store
34,Sugar,store
35,Salt,store
36,Pepper,store
37,Coffee,store
38,Tea,store
39,Bottled water,store
40,Soda,store
41,Juice,store
42,Snack bars,store
43,Chips,store
44,Cookies,store
45,Chocolate,store
46,Ice cream,store
47,Frozen vegetables,store
48,Frozen pizza,store
49,Frozen meals,store
50,Laundry detergent,store
51,Dish soap,store
52,Paper towels,store
53,Toilet paper,store
54,Shampoo,store
55,Conditioner,store
56,Soap,store
57,Toothpaste,store
58,Razors,store
59,Deodorant,store
60,Facial cleanser,store
61,Makeup,store
62,Diapers,store
63,Baby wipes,store
64,Baby food,store
65,Pet food,store
66,Dog treats,store
67,Cat litter,store
68,Tissues,store
69,Candles,store
70,Light bulbs,store
71,Batteries,store
72,Garbage bags,store
73,Aluminum foil,store
74,Ziploc bags,store
75,Plastic wrap,store
76,Dishwasher detergent,store
77,Hand sanitizer,store
78,Band-aids,store
79,Pain relievers,store
80,Vitamins,store
81,Cough syrup,store
82,All-purpose cleaner,store
83,Glass cleaner,store
84,Bathroom cleaner,store
85,Laundry stain remover,store
86,Air freshener,store
87,Fabric softener,store
88,Fabric conditioner,store
89,Bleach,store
90,Insect repellent,store
91,Garden seeds,store
92,Fertilizer,store
93,Plant pots,store
94,Plant soil,store
95,Garden tools,store
96,Picture frames,store
97,Home decor,store
98,Bedding,store
99,Curtains,store
100,Cookware,store
101,Bakeware,store
102,Utensils,store
103,Cutting board,store
104,Mixing bowls,store
105,Food storage containers,store
106,Measuring cups,store
107,Cooking utensils,store
108,Trash can,store
109,Broom,store
110,Dustpan,store
111,Mop,store
112,Cleaning brushes,store
113,Vacuum cleaner,store
114,Iron,store
115,Ironing board,store
116,Clothes hangers,store
117,Laundry basket,store
118,Shoe rack,store
119,Storage bins,store
120,Trash bags,store
121,Water filter,store
122,Air purifier,store
123,Electric fan,store
124,Hand tools,store
125,Power drill,store
126,Screws,store
127,Nails,store
128,Paintbrushes,store
129,Paint,store
130,Tape,store
131,Sandpaper,store
132,Craft supplies,store
133,Office supplies,store
134,Notebooks,store
135,Pens,store
136,Pencils,store
137,Printer paper,store
138,Envelopes,store
139,Folders,store
140,Binders,store
141,Stapler,store
142,Glue,store
143,Scissors,store
144,Tape dispenser,store
145,Calculator,store
146,USB flash drive,store
147,HDMI cable,store
148,Phone charger,store
149,Laptop case,store
150,Backpack,store
151,Wallet,store
152,Umbrella,store
153,Sunglasses,store
154,Hats,store
155,Gloves,store
156,Socks,store
157,Underwear,store
158,T-shirts,store
159,Tank tops,store
160,Jeans,store
161,Shorts,store
162,Dresses,store
163,Skirts,store
164,Sweaters,store
165,Jackets,store
166,Coats,store
167,Boots,store
168,Sneakers,store
169,Sandals,store
170,Flip flops,store
171,Swimwear,store
172,Handbags,store
173,Wallets,store
174,Jewelry,store
175,Watches,store
176,Sunglasses,store
177,Belts,store
178,Scarves,store
179,Hair accessories,store
180,Perfume,store
181,Cologne,store
182,Candles,store
183,Picture frames,store
184,Home decor,store
185,Bedding,store
186,Furniture,store
187,Rugs,store
188,Curtains,store
189,Kitchen appliances,store
190,Electronics,store
191,Gaming accessories,store
192,DVDs,store
193,Books,store
194,Magazines,store
195,Fitness equipment,store
196,Sports gear,store
197,Camping supplies,store
198,Travel accessories,store
199,Gift cards,store
0,Clothing store,shopping_mall
1,Shoe store,shopping_mall
2,Jewelry store,shopping_mall
3,Electronic store,shopping_mall
4,Department store,shopping_mall
5,Bookstore,shopping_mall
6,Toy store,shopping_mall
7,Beauty salon,shopping_mall
8,Spa,shopping_mall
9,Hair salon,shopping_mall
10,Pet store,shopping_mall
11,Home decor store,shopping_mall
12,Furniture store,shopping_mall
13,Sporting goods store,shopping_mall
14,Music store,shopping_mall
15,Movie theater,shopping_mall
16,Fast food restaurant,shopping_mall
17,Fine dining restaurant,shopping_mall
18,Cafe,shopping_mall
19,Ice cream shop,shopping_mall
20,Electronics accessories store,shopping_mall
21,Mobile phone store,shopping_mall
22,Stationery store,shopping_mall
23,Art supplies store,shopping_mall
24,Sports apparel store,shopping_mall
25,Fitness center,shopping_mall
26,Health food store,shopping_mall
27,Gift shop,shopping_mall
28,Bedding store,shopping_mall
29,Kitchenware store,shopping_mall
30,Convenience store,shopping_mall
31,Lingerie store,shopping_mall
32,Department store,shopping_mall
33,Wireless service provider,shopping_mall
34,Yoga studio,shopping_mall
35,Optical store,shopping_mall
36,Perfume store,shopping_mall
37,Video game store,shopping_mall
38,Sports memorabilia store,shopping_mall
39,Children's clothing store,shopping_mall
40,Swimwear store,shopping_mall
41,Hardware store,shopping_mall
42,Car accessories store,shopping_mall
43,Sunglasses store,shopping_mall
44,Formal wear store,shopping_mall
45,Nutrition store,shopping_mall
46,Dollar store,shopping_mall
47,Tattoo parlor,shopping_mall
48,Vintage clothing store,shopping_mall
49,Art gallery,shopping_mall
50,Outdoor equipment store,shopping_mall
51,Musical instruments store,shopping_mall
52,Bridal shop,shopping_mall
53,Comic book store,shopping_mall
54,Souvenir shop,shopping_mall
55,Farmers market,shopping_mall
56,Electronic repair shop,shopping_mall
57,Antique store,shopping_mall
58,Flower shop,shopping_mall
59,Tailor shop,shopping_mall
60,Baby clothing store,shopping_mall
61,Maternity store,shopping_mall
62,Nail salon,shopping_mall
63,Tanning salon,shopping_mall
64,Shoe repair shop,shopping_mall
65,Watch store,shopping_mall
66,Hat store,shopping_mall
67,Party supplies store,shopping_mall
68,Fabric store,shopping_mall
69,Bridal boutique,shopping_mall
70,Men's clothing store,shopping_mall
71,Women's clothing store,shopping_mall
72,Children's toy store,shopping_mall
73,Grocery store,shopping_mall
74,Health clinic,shopping_mall
75,Pharmacy,shopping_mall
76,Insurance agency,shopping_mall
77,Bank branch,shopping_mall
78,Travel agency,shopping_mall
79,Fitness apparel store,shopping_mall
80,Tattoo studio,shopping_mall
81,Candy store,shopping_mall
82,Handbag store,shopping_mall
83,Craft store,shopping_mall
84,Furniture showroom,shopping_mall
85,Footwear store,shopping_mall
86,Mobile accessories store,shopping_mall
87,Gourmet food store,shopping_mall
88,Music lessons studio,shopping_mall
89,Organic food store,shopping_mall
90,Calligraphy supplies store,shopping_mall
91,Party dress store,shopping_mall
92,Skateboard shop,shopping_mall
93,Second-hand bookstore,shopping_mall
94,Pop-up shop,shopping_mall
95,Cookware store,shopping_mall
96,Outdoor furniture store,shopping_mall
97,Bicycle store,shopping_mall
98,Chocolate shop,shopping_mall
99,Popcorn shop,shopping_mall
100,Juice bar,shopping_mall
101,Wine store,shopping_mall
102,Cheese shop,shopping_mall
103,Cookbook store,shopping_mall
104,Antique furniture store,shopping_mall
105,Architectural design studio,shopping_mall
106,Comic book library,shopping_mall
107,Running shoe store,shopping_mall
108,Motorcycle dealership,shopping_mall
109,Vintage vinyl record store,shopping_mall
110,Asian grocery store,shopping_mall
111,Ballet studio,shopping_mall
112,Science toy store,shopping_mall
113,Typewriter repair shop,shopping_mall
114,Streetwear clothing store,shopping_mall
115,Running apparel store,shopping_mall
116,Gourmet coffee shop,shopping_mall
117,Organic skincare store,shopping_mall
118,Typewriter store,shopping_mall
119,Fabric and sewing supplies store,shopping_mall
120,Handmade soap store,shopping_mall
